pose_label,canvas_u,canvas_v,grid_row,grid_column,roll_sweep_deg,yaw_rad,pitch_rad,roll_rad,elbow_rad,tip_x_m,tip_y_m,tip_z_m,ik_residual_m
u0.035_v0.035_roll-32,0.035,0.035,0,0,-32.0,0.8264471502770158,1.0094398979509647,-0.5585053606381855,-1.3502453247087274,-0.16121999999999997,0.4826,0.58622,3.226654269004545e-10
u0.151_v0.035_roll-32,0.15125,0.035,0,1,-32.0,0.03109614775494391,-0.1364047946848487,-0.5585053606381855,1.1848911106851214,-0.10216500000000002,0.4826,0.58622,1.265317552040796e-11
u0.267_v0.035_roll-32,0.26749999999999996,0.035,0,2,-32.0,-0.09696913382203523,-0.1483732809630483,-0.5585053606381855,1.225166796148088,-0.04311000000000002,0.4826,0.58622,2.457136069758075e-10
u0.384_v0.035_roll-32,0.38375000000000004,0.035,0,3,-32.0,0.5090804881847544,1.0960945349362943,-0.5585053606381855,-1.4722287107251029,0.015945000000000015,0.4826,0.58622,3.843188170805251e-11
u0.500_v0.035_roll-32,0.5,0.035,0,4,-32.0,0.37996789648991003,1.0777252700781508,-0.5585053606381855,-1.4471085448575105,0.075,0.4826,0.58622,1.2948323586380742e-11
u0.616_v0.035_roll-32,0.61625,0.035,0,5,-32.0,-0.44077552194944125,-0.12555097280122898,-0.5585053606381855,1.1491605685372293,0.13405499999999998,0.4826,0.58622,2.7793248768155016e-11
u0.733_v0.035_roll-32,0.7325,0.035,0,6,-32.0,-0.5298179544052843,-0.09615233250166577,-0.5585053606381855,1.0555282956791923,0.19311,0.4826,0.58622,6.042416233275966e-11
u0.849_v0.035_roll-32,0.84875,0.035,0,7,-32.0,-0.034217103778395555,0.8861850800588107,-0.5585053606381855,-1.1612301919123147,0.25216500000000003,0.4826,0.58622,4.6262929936232035e-11
u0.965_v0.035_roll-32,0.965,0.035,0,8,-32.0,-0.6465423780030584,0.012996751771984194,-0.5585053606381855,0.7348997504544857,0.31122,0.4826,0.58622,3.02012030186816e-11
u0.965_v0.151_roll-32,0.965,0.15125,1,8,-32.0,-0.16082879465534003,0.7268555777013627,-0.5585053606381855,-1.0872943253655936,0.31122,0.4826,0.527165,3.827396192882005e-11
u0.849_v0.151_roll-32,0.84875,0.15125,1,7,-32.0,-0.021593958847542248,0.8267153673078474,-0.5585053606381855,-1.2616794448592072,0.25216500000000003,0.4826,0.527165,4.356252035372156e-11
u0.733_v0.151_roll-32,0.7325,0.15125,1,6,-32.0,-0.5443853808843907,-0.243157431469412,-0.5585053606381855,1.1503487268078378,0.19311,0.4826,0.527165,4.025580973101634e-11
u0.616_v0.151_roll-32,0.61625,0.15125,1,5,-32.0,0.24997126807271697,0.963049849766752,-0.5585053606381855,-1.4808644097053616,0.13405499999999998,0.4826,0.527165,1.205871226830277e-11
u0.500_v0.151_roll-32,0.5,0.15125,1,4,-32.0,-0.3468701377989688,-0.29512810065259715,-0.5585053606381855,1.2984426623134686,0.075,0.4826,0.527165,3.373847530480185e-11
u0.384_v0.151_roll-32,0.38375000000000004,0.15125,1,3,-32.0,-0.23030356321917228,-0.3035714915901947,-0.5585053606381855,1.3231384313351795,0.015945000000000015,0.4826,0.527165,1.1648901978898363e-11
u0.267_v0.151_roll-32,0.26749999999999996,0.15125,1,2,-32.0,-0.10682489899136681,-0.30105998132817846,-0.5585053606381855,1.3157707844608884,-0.04311000000000002,0.4826,0.527165,3.81087869971051e-10
u0.151_v0.151_roll-32,0.15125,0.15125,1,1,-32.0,0.020103969336576752,-0.2874756702605459,-0.5585053606381855,1.276233494873957,-0.10216500000000002,0.4826,0.527165,3.887422818275677e-11
u0.035_v0.151_roll-32,0.035,0.15125,1,0,-32.0,0.147932603661405,-0.26215685075572825,-0.5585053606381855,1.2037940646161538,-0.16121999999999997,0.4826,0.527165,1.2320120244248393e-11
u0.035_v0.267_roll-32,0.035,0.26749999999999996,2,0,-32.0,0.14113477044884923,-0.402105452460226,-0.5585053606381855,1.2625347760233383,-0.16121999999999997,0.4826,0.46811,3.477280801296136e-11
u0.151_v0.267_roll-32,0.15125,0.26749999999999996,2,1,-32.0,0.014607667937988929,-0.430862276036056,-0.5585053606381855,1.3342006520389607,-0.10216500000000002,0.4826,0.46811,7.33929009801134e-10
u0.267_v0.267_roll-32,0.26749999999999996,0.26749999999999996,2,2,-32.0,-0.11158897274709895,-0.4465423476898139,-0.5585053606381855,1.373449066058962,-0.04311000000000002,0.4826,0.46811,1.0151559625290838e-10
u0.384_v0.267_roll-32,0.38375000000000004,0.26749999999999996,2,3,-32.0,-0.23492897338837102,-0.44946212896392357,-0.5585053606381855,1.3807730401971892,0.015945000000000015,0.4826,0.46811,2.3353921952848457e-11
u0.500_v0.267_roll-32,0.5,0.26749999999999996,2,4,-32.0,-0.3519574728214156,-0.43967236001379245,-0.5585053606381855,1.3562361928787563,0.075,0.4826,0.46811,1.0221137183411559e-11
u0.616_v0.267_roll-32,0.61625,0.26749999999999996,2,5,-32.0,-0.4588913793132737,-0.41699304143035965,-0.5585053606381855,1.2995905452275092,0.13405499999999998,0.4826,0.46811,1.1873402885962858e-11
u0.733_v0.267_roll-32,0.7325,0.26749999999999996,2,6,-32.0,-0.5521233386034287,-0.38088900216066446,-0.5585053606381855,1.209872125425466,0.19311,0.4826,0.46811,3.6114185008914174e-11
